Epoch,Image Index,Original Age Prediction,Original Gender Prediction,Adversarial Age Prediction,Adversarial Gender Prediction
151,1,[21.732508],[-0.5619415   0.47175187],[68.42476],[-3.0839467   0.19763963]
152,0,[33.21096],[-0.92937315 -1.843018  ],[31.609598],[-1.421332    0.07461606]
152,1,[29.561615],[-0.49981254 -0.21409634],[25.689764],[-0.6374936 -1.3858167]
153,0,[59.71144],[-2.5354633  -0.07750617],[26.580578],[ 1.347644  -1.1553808]
153,1,[27.687492],[0.14323357 1.6152115 ],[32.621872],[-1.1943172  -0.39101666]
154,0,[29.81871],[-0.9836718  -0.12007381],[22.547586],[-0.22424082  0.03355803]
154,1,[35.73921],[-0.27719903  0.7048803 ],[29.398502],[-1.4125494 -0.9238299]
155,0,[33.106125],[-1.1612178  1.4781089],[32.826447],[-0.20255919  1.8569992 ]
155,1,[34.545666],[-1.1426601   0.18041565],[53.33991],[-2.1806319   0.94420654]
156,0,[29.496387],[-0.2493815  -0.26145333],[59.331497],[-3.050589   2.7577517]
156,1,[34.572075],[-1.3255178 -1.0421474],[53.414772],[-2.809582   1.0203688]
157,0,[30.905048],[-1.2214648 -0.7827365],[65.45723],[-5.0821733  2.202974 ]
157,1,[38.759266],[-2.3494105  1.3624653],[24.395071],[-0.15347432 -0.3022977 ]
158,0,[28.661583],[-2.1753025  -0.40037373],[29.058262],[-0.6201515   0.09384327]
158,1,[33.69709],[-1.0730829  0.7818777],[24.244421],[ 0.07291812 -0.29461545]
159,0,[31.56662],[-0.5647869 -1.3104782],[22.350384],[ 0.01155038 -0.48478693]
159,1,[33.961525],[-0.9189346  0.9555417],[55.489166],[-4.5405607  1.9276836]
160,0,[34.380733],[-2.8553035  1.1683205],[25.529629],[-0.5009916  -0.30263638]
160,1,[45.141544],[-2.2491927  1.002921 ],[63.07153],[-4.734191  1.832062]
161,0,[35.05214],[-0.921049   -0.27200872],[60.232567],[-3.727309    0.30345345]
161,1,[31.883753],[-1.0809463  -0.91493464],[47.582314],[-3.0047128   0.09998704]
162,0,[30.160532],[-1.7351727   0.40445876],[40.19411],[-1.7179961  0.9059743]
162,1,[50.26486],[-3.3838863  2.2566752],[66.37699],[-4.4491277  1.3880692]
163,0,[31.14627],[ 0.04622649 -0.44662338],[26.78142],[-1.0274382  0.6530263]
163,1,[33.264366],[-0.01571324  2.1853387 ],[34.422882],[-1.3506509  0.611993 ]
164,0,[36.39243],[-0.9862726  0.6202982],[37.35885],[-2.2391076  -0.15529582]
164,1,[25.82081],[-0.30628198 -0.072221  ],[36.318737],[-2.3932095  -0.37029794]
165,0,[28.588945],[-0.80124205 -0.529828  ],[62.06526],[-4.2488894  2.4384599]
165,1,[32.887672],[-0.6682151  1.0673761],[46.954758],[-3.12817  2.5075 ]
166,0,[29.81569],[-1.3272457  -0.07394788],[22.122532],[-0.6866618 -1.2046368]
166,1,[37.970337],[-3.1053107  0.4792208],[66.594635],[-7.638607   1.1970563]
167,0,[29.705399],[-0.574278   -0.23716567],[23.304102],[-0.39133942  0.00945386]
167,1,[32.849358],[-0.4950552  -0.28267497],[24.485998],[-1.9744314  0.7368978]
168,0,[25.186144],[-0.6978916  -0.19386819],[58.84304],[-3.619875  2.918297]
168,1,[55.029728],[-3.1749103  1.5630438],[30.307014],[-1.8138856   0.68162495]
169,0,[28.964987],[-2.0465577   0.15818016],[27.247318],[-0.5475464   0.23220663]
169,1,[36.602287],[-2.4702501 -0.5717915],[27.574886],[-7.3392481e-01 -7.0631504e-06]
170,0,[29.977825],[-1.6133137  -0.49676812],[30.858246],[-1.2250623 -0.8095522]
170,1,[30.91398],[-0.05577908  0.39677483],[28.699167],[-0.86216307 -0.7426154 ]
171,0,[34.98055],[-1.3342112  0.5108055],[28.129984],[-1.6394647   0.36486953]
171,1,[31.41687],[-1.1279849  0.3783868],[33.841446],[-1.7714591 -1.1202351]
172,0,[31.135082],[-0.2624715  1.1607698],[25.78728],[-0.48749024 -0.36905032]
172,1,[38.177536],[-2.7468705  -0.13361225],[28.70553],[ 1.1307656  -0.31611174]
173,0,[33.20762],[-0.32291996 -0.46222073],[60.788498],[-3.951551   -0.29772973]
173,1,[44.015507],[-1.7497755  1.664803 ],[31.14434],[ 1.0069033 -1.5180473]
174,0,[23.704842],[-1.6882467  1.2732676],[71.388664],[-6.1919894  1.9338503]
174,1,[41.68116],[-2.347925   1.7008748],[21.580374],[-0.22790055 -0.7826116 ]
175,0,[32.5671],[-1.6313306  -0.44126648],[51.479393],[-4.4721346   0.44853777]
175,1,[31.678444],[-0.47596228  0.610615  ],[47.089767],[-3.1503496  1.2728446]
176,0,[29.355698],[-1.1195742  0.8030442],[26.858461],[-1.1752881  0.6759092]
176,1,[29.639317],[-0.67417234 -0.27583742],[36.760162],[-0.74778616  0.19846474]
177,0,[37.00343],[-0.7270552   0.44783264],[23.99819],[ 0.44795293 -0.14330217]
177,1,[32.09688],[-1.6200808  0.5343358],[60.990215],[-3.0108216  2.8682017]
178,0,[29.646107],[-1.8804356  0.5185816],[39.87209],[-2.0319974   0.50166965]
178,1,[35.958557],[-2.5412273  0.6264716],[60.66423],[-2.885703   1.0414299]
179,0,[27.320679],[-1.4038998  -0.10613352],[68.26187],[-4.5242624  1.620378 ]
179,1,[33.38922],[ 0.35011804 -0.16494568],[29.013145],[0.39906365 0.07180066]
180,0,[34.11772],[-0.8946012 -0.8923972],[49.902943],[-3.3694165  0.6223287]
180,1,[26.663786],[-0.5600712 -0.9441214],[58.41802],[-4.6352525  2.722664 ]
181,0,[30.858383],[-1.0486721  -0.11224428],[29.365479],[-1.2896299   0.04990202]
181,1,[30.965702],[-2.183868   0.5584859],[28.297138],[-0.22622733  0.5242419 ]
182,0,[26.551762],[-0.57260007 -0.30696207],[75.63599],[-5.4978156  1.8935509]
182,1,[38.378063],[-2.6735003  -0.32314485],[39.49125],[-1.2511297   0.99725014]
183,0,[35.528748],[-1.5299494   0.13080345],[23.131256],[-0.6726341 -0.2890305]
183,1,[30.191275],[-1.3122381   0.05700983],[32.281593],[-1.0027765 -1.0313092]
184,0,[27.89661],[ 0.30110937 -0.5709392 ],[55.92022],[-1.8229352   0.41919756]
184,1,[35.733276],[-2.4712899  1.6089168],[26.289848],[-0.77077544 -1.5208105 ]
185,0,[54.23579],[-3.047465   -0.61154395],[41.305218],[-1.0275829 -0.8959196]
185,1,[36.820595],[-0.1824411  -0.26803827],[31.005754],[0.78490824 0.14230402]
186,0,[47.9575],[-2.7947636  2.4490318],[60.37997],[-5.598551   1.6541457]
186,1,[27.539854],[-1.3618284  0.6124893],[35.206856],[-1.1047525   0.30785656]
187,0,[28.37127],[-0.8719876 -0.5218968],[55.65255],[-2.4044456  0.5081422]
187,1,[60.247864],[-3.3121088   0.26037097],[35.168053],[-1.4659545 -0.6360615]
188,0,[36.338516],[-2.7712145  0.4122085],[32.460403],[ 0.68696886 -0.26661825]
188,1,[30.279644],[-1.3278016  -0.73713994],[52.432396],[-5.1320696  1.5387089]
189,0,[42.516853],[-2.2629201   0.48485774],[73.386185],[-7.6759596   0.63572407]
189,1,[25.3181],[-1.5623524  -0.96807855],[27.379456],[-0.63941294 -0.7290035 ]
190,0,[27.714012],[-0.5370709 -0.0053844],[50.482956],[-2.4973328  1.9192169]
190,1,[52.43174],[-3.2158897  1.7864435],[47.583393],[-2.8766184  0.9867216]
191,0,[26.538078],[-1.3197407   0.02158438],[57.319817],[-3.959362   3.1681023]
191,1,[32.16117],[-1.430317  -0.5651155],[26.697353],[-0.87574935 -0.36277342]
192,0,[29.250242],[-0.7269711  0.3164444],[36.426666],[-1.0329998  0.3732431]
192,1,[38.42555],[-1.939572    0.21582158],[26.860193],[-0.4672686  -0.89774996]
193,0,[33.68112],[-1.6032603  -0.40778375],[64.76685],[-5.832595   1.7741554]
193,1,[34.519905],[-1.3935841 -0.049678 ],[25.068045],[ 0.49605203 -0.4532789 ]
194,0,[47.060272],[-2.0655885 -1.5385643],[24.555471],[-0.19379665 -0.9740668 ]
194,1,[27.184202],[-1.40798    -0.19120523],[56.793705],[-3.1702762   0.78493154]
195,0,[28.287254],[-0.7041684   0.23860724],[66.51828],[-5.2515345  3.0397856]
195,1,[36.08985],[-2.6837475  0.8252288],[24.374203],[-0.08543275  0.7136089 ]
196,0,[34.01172],[-0.6485817  1.4264405],[26.129236],[-0.1506431  -0.58473206]
196,1,[30.648739],[-2.0995305  0.2593369],[26.758734],[ 0.4088197 -0.9337209]
197,0,[29.975018],[-0.29045308  0.13659422],[56.18495],[-5.24368    1.3100898]
197,1,[36.728374],[-1.6968248   0.20641382],[28.34231],[-0.9618839  -0.01039869]
198,0,[26.497929],[ 0.09874316 -0.26816663],[51.129818],[-3.7263484  -0.10303789]
198,1,[30.886923],[-1.171222   -0.18304862],[22.574675],[-0.70969254 -1.2022414 ]
199,0,[30.271942],[-1.3343714   0.49222702],[28.52794],[-1.354483   -0.20442967]
199,1,[39.420296],[-2.1508942   0.31848466],[30.611042],[-0.3893143  0.3502437]
200,0,[27.437622],[-2.2699425 -0.9109809],[20.189928],[-0.63263947 -1.150999  ]
200,1,[29.821182],[-1.269888    0.11730333],[62.258224],[-3.1381211  1.5084174]
201,0,[31.34618],[-0.68085074  0.6238546 ],[29.039547],[-0.07414903  0.8144401 ]
201,1,[34.513355],[-0.12144886 -1.5397146 ],[22.50894],[ 0.45539474 -0.02108842]
202,0,[40.470074],[-2.8279226 -0.527817 ],[50.897655],[-3.2839518  0.7495685]
202,1,[46.830147],[-1.7916789  0.6266949],[57.566605],[-2.5131402  2.4091127]
203,0,[32.79674],[-1.6849428  -0.07869092],[30.03009],[-0.97044945  0.07879589]
203,1,[55.67202],[-2.7055447  2.6219652],[26.374119],[-0.40600258  0.5532684 ]
204,0,[31.832382],[-0.53756964 -0.54718745],[53.616905],[-1.6428391  1.6050377]
204,1,[41.84289],[-2.7066636   0.27296233],[53.69683],[-3.2737122  1.6447856]
205,0,[24.715685],[-0.08707766  0.69820493],[34.845795],[-0.35351104 -0.22463767]
205,1,[34.381943],[-1.9649888  -0.19914876],[34.015984],[-1.4717721   0.22500397]
206,0,[38.10245],[-1.984223  -0.2083772],[33.770924],[-0.33225256  0.47132403]
206,1,[46.442276],[-2.103016    0.67470163],[28.647263],[-0.6103515  0.5587147]
207,0,[41.088936],[-2.553764    0.92354625],[39.248886],[-0.8779626   0.87305623]
207,1,[37.024395],[-1.1320592  -0.31806064],[29.7155],[-0.41336286 -1.0764186 ]
208,0,[41.74771],[-1.8008622 -1.1386899],[63.98892],[-3.1092825  2.2340086]
208,1,[34.80255],[-1.9452587  0.7929999],[31.716305],[-0.6665933 -2.0206304]
209,0,[38.401497],[-1.0131881  0.8186655],[50.228394],[-4.0808043  1.5694337]
209,1,[31.018095],[-0.2564792  1.2505333],[44.22685],[-1.8454176  0.8982107]
210,0,[27.608105],[-1.2009053  -0.87731457],[27.993052],[-0.78561485 -0.8709987 ]
210,1,[43.525692],[-2.711541    0.24461047],[27.413548],[2.0127642 1.908833 ]
211,0,[33.58392],[-0.7911857 -0.8128559],[70.12062],[-5.780401   3.1181092]
211,1,[26.50671],[0.8658962  0.04052339],[28.485104],[ 0.41450667 -0.03130224]
212,0,[26.166908],[-1.4314865 -1.3172548],[53.095398],[-3.1402261  -0.25646472]
212,1,[38.771313],[-1.3518187  1.6580195],[26.33331],[-1.5812434  -0.80712765]
213,0,[39.33394],[-2.5894632  -0.51442164],[51.87734],[-1.3029007  1.1799601]
213,1,[36.057632],[-1.2354695  0.8626644],[48.672775],[-2.644992    0.05105044]
214,0,[43.413628],[-2.758115    0.60870403],[31.348042],[-0.33419228  0.13894491]
214,1,[30.585802],[-0.9465004   0.47018778],[31.37197],[-2.1055796  -0.47570866]
215,0,[33.145065],[0.11470402 0.099068  ],[64.0022],[-5.0390553 -0.8745549]
215,1,[35.78551],[-1.5771052  -0.20719233],[27.397001],[-1.1721634 -0.50365  ]
216,0,[33.367767],[-0.63608027  1.1460197 ],[28.861588],[0.39568454 1.5688078 ]
216,1,[39.074257],[-2.9724202   0.92937773],[32.84636],[-0.80741954  0.34500414]
217,0,[27.265747],[ 0.39494705 -0.17458926],[25.283129],[ 0.6530554 -1.5201255]
217,1,[32.885033],[-1.265458  -0.6888495],[24.323547],[-0.7996062  1.0420265]
218,0,[32.21684],[-0.4633696  1.093971 ],[50.87643],[-1.7392603  1.1823366]
218,1,[25.22371],[-1.2322645  -0.10530956],[28.489077],[0.08392096 0.00917174]
219,0,[34.781235],[-0.9051343 -1.0658119],[20.226501],[ 0.536486   -0.30492708]
219,1,[27.045328],[-1.2184263  1.165939 ],[64.10034],[-5.161699    0.98577803]
220,0,[32.92414],[ 0.3795421  -0.41006428],[24.05505],[-0.3999228  -0.97532636]
220,1,[36.201305],[-1.8738807  1.0091636],[66.390236],[-4.0886707  2.1566014]
221,0,[23.33187],[ 0.61715287 -0.29063955],[25.286884],[-0.40977907 -0.75541323]
221,1,[34.382908],[-1.6027734  -0.43697482],[29.740265],[-0.60038316 -0.02149439]
222,0,[33.79021],[-0.15110879  1.0599191 ],[32.92521],[-2.2456496 -0.8372131]
222,1,[29.671593],[-0.49886668 -0.65631133],[32.80484],[-0.97616637 -1.1167421 ]
223,0,[37.319763],[-1.1413537  -0.18505594],[55.46332],[-3.9846854   0.47829944]
223,1,[26.146145],[-0.4787724 -0.3783428],[45.558167],[-2.9408758 -0.4013465]
224,0,[26.700825],[-2.293037   0.9748209],[61.00892],[-4.4772496  1.2925907]
224,1,[25.196815],[-0.33333564  0.48269808],[44.189472],[-0.526776   0.9082603]
225,0,[42.461933],[-1.1774111  3.8553126],[29.793514],[-0.0723678 -1.0749035]
225,1,[28.877962],[-0.77483064  0.08888961],[21.798794],[-0.4526924 -1.3836591]
226,0,[25.697388],[-0.695427   -0.51019126],[85.32563],[-2.8704562  2.72951  ]
226,1,[32.844177],[-1.7653085  -0.00678129],[27.275967],[-0.9273765  -0.30968887]
227,0,[25.57274],[-0.10885082  0.08414648],[22.50523],[0.6848318 2.4951632]
227,1,[30.774168],[-0.5358406   0.37610883],[62.97628],[-3.648086   1.3792682]
228,0,[35.027264],[-2.2014744  1.1413422],[27.42086],[-0.44670182 -0.4779966 ]
228,1,[38.352634],[-2.6191425   0.21236111],[23.052593],[-0.14891373  0.06910004]
229,0,[27.465199],[-1.0452796   0.87154526],[68.0003],[-6.0634775  1.9857335]
229,1,[46.414345],[-1.5011234  0.8303324],[35.480854],[-1.6027399  0.8777787]
230,0,[29.144608],[-1.4628968  1.3435059],[48.03805],[-3.4840436  0.6845917]
230,1,[35.45976],[-1.1010274  0.0181364],[50.401283],[-2.7831907   0.41025907]
231,0,[32.158348],[-1.0971185   0.16560556],[29.79998],[-0.932762   -0.57197106]
231,1,[35.90076],[-1.8851706  1.3073986],[26.047293],[-0.9589212  -0.26313174]
232,0,[30.899113],[-1.7476549   0.30290842],[53.806816],[-4.4059105  1.1971984]
232,1,[45.5037],[-3.0968902  0.3643331],[39.68177],[-2.0354056  1.9069607]
233,0,[29.300608],[-0.6875517 -0.5704048],[45.58616],[-3.099364  2.402693]
233,1,[28.66674],[-0.16586868  0.4131713 ],[51.830784],[-3.9532971  1.3915339]
234,0,[43.6157],[-1.3508673  1.5505636],[28.980694],[-0.8441117   0.43231374]
234,1,[30.797762],[ 0.6861105  -0.39198077],[29.9226],[-0.09421353 -0.07938354]
235,0,[38.411957],[-2.3610332  -0.12843022],[41.046356],[-3.350609   0.9723808]
235,1,[37.264572],[-1.4706296  -0.14767505],[62.72645],[-2.5213625   0.21336518]
236,0,[34.975967],[-1.8200573 -0.1169809],[36.1864],[-2.8447473  1.2090478]
236,1,[27.600922],[ 0.1547986  -0.34948865],[61.556206],[-3.380175   0.6488276]
237,0,[26.124828],[-0.36202943 -0.6262969 ],[28.001694],[-1.4895483  1.2422746]
237,1,[36.96275],[-3.086482   1.4831383],[58.4109],[-2.4973693  1.8266826]
238,0,[37.944794],[-2.9353137  -0.66994524],[28.71254],[-0.25879657 -0.75087607]
238,1,[27.13689],[-0.7805401  -0.05755983],[67.0331],[-4.2381015   0.64126664]
239,0,[27.841343],[-1.6677012  -0.68682426],[36.498127],[-1.8774282  1.0929137]
239,1,[29.376385],[-1.2830006   0.68520296],[58.57547],[-2.3578467  -0.06582804]
240,0,[41.90268],[-0.09180178  0.9149788 ],[33.187515],[-1.5826572 -0.3311013]
240,1,[28.077694],[-1.5084945 -1.3681016],[33.294548],[-2.125139   -0.04880176]
241,0,[35.99053],[-1.6574956  0.1742466],[29.853031],[-0.16019    -0.04507516]
241,1,[30.476465],[-0.6983974   0.41029263],[30.49428],[ 0.40099263 -0.8394824 ]
242,0,[36.166115],[-1.4718945  0.1854351],[26.120243],[0.18558128 0.9173612 ]
242,1,[28.838356],[-0.16125162  0.51701915],[66.47483],[-2.7811985  1.9638705]
243,0,[28.117271],[-1.0366077  -0.12362678],[26.022629],[-1.3239164 -0.5433775]
243,1,[49.678463],[-4.5176883  1.499894 ],[30.475645],[-0.28514063  0.03533201]
244,0,[36.26442],[-2.6759214  -0.02521454],[28.284525],[-0.13028218 -0.68925446]
244,1,[37.578743],[-2.790835   -0.86121875],[30.112497],[-1.6377668  -0.08509786]
245,0,[33.569958],[-1.9947976   0.02961001],[25.630991],[0.44280162 0.25564927]
245,1,[40.7858],[-2.5165358  -0.57826024],[67.82367],[-2.81841    -0.20057863]
246,0,[35.312347],[-2.1429303 -0.6181042],[69.46481],[-4.3403115  3.932627 ]
246,1,[26.568327],[0.04000585 0.50490385],[24.638601],[ 0.51601225 -0.31550568]
247,0,[22.408096],[-0.88684106 -0.12195483],[34.130444],[-1.458836    0.10178111]
247,1,[29.271324],[-0.2496209   0.10116969],[73.83137],[-3.6912308   0.33465737]
248,0,[37.55156],[-2.9869587  0.7510291],[57.342987],[-5.343259   1.1231148]
248,1,[25.425005],[ 0.37562245 -0.3474124 ],[22.338863],[-0.31553072 -0.08706984]
249,0,[37.851467],[-0.55106187  0.67115706],[37.35628],[-3.0141652   0.04216048]
249,1,[26.34708],[-0.38388503  1.3755662 ],[67.41127],[-3.388796   4.5462017]
250,0,[39.97425],[-2.1049783   0.28592372],[25.259499],[-1.6365318   0.00521967]
250,1,[36.607666],[-1.3757973  0.7097192],[29.867685],[-0.20157786 -0.08889229]
251,0,[34.059654],[-1.6388981 -1.5159851],[61.48255],[-3.1806836  2.3931646]
251,1,[40.335133],[-3.7313156  1.6933278],[39.495434],[-0.40428096  0.26511854]
252,0,[27.560495],[-0.8783095  0.0140814],[51.491444],[-2.527782   2.3655498]
252,1,[37.83084],[-0.87446904 -0.654682  ],[43.29547],[-1.3753322   0.45340943]
253,0,[33.381348],[-1.9341358 -0.7308858],[57.604813],[-4.109085    0.90698093]
253,1,[29.333918],[-1.6830218   0.12442373],[26.721302],[ 0.92697704 -0.6215954 ]
254,0,[28.602732],[-0.7056147   0.18208216],[28.198666],[-2.348264   -0.61870706]
254,1,[39.098175],[-0.8379806   0.69998914],[35.85368],[-2.0660093  -0.39319098]
255,0,[21.517931],[ 1.3430539  -0.18128966],[24.042038],[0.39209992 0.73989224]
255,1,[27.087746],[-0.27395505 -0.30562413],[71.54181],[-4.3792872  3.1226504]
256,0,[30.786776],[-2.3537679  -0.20404533],[31.41717],[-1.2911897  1.4578172]
256,1,[38.782547],[-1.5476965  1.1284945],[27.343918],[-1.1362488  1.32229  ]
257,0,[31.939219],[-0.8294103  -0.10009533],[24.886139],[-1.1358773 -0.8510043]
257,1,[37.306377],[-1.4865911 -0.2756941],[30.957878],[-0.60932887 -1.3284857 ]
258,0,[28.210705],[-0.012715  -1.2659343],[26.445831],[0.17861798 0.58098215]
258,1,[29.765469],[ 0.18862988 -0.0215766 ],[66.558105],[-4.7027636  1.6817498]
259,0,[28.206806],[-1.1579418  -0.39968383],[71.047745],[-4.419308   1.8609402]
259,1,[35.444893],[-2.1492069  0.6296699],[25.854399],[ 0.21767867 -0.68247336]
260,0,[34.644966],[-0.7789155   0.30219442],[50.05193],[-3.5885406  0.8385392]
260,1,[25.64033],[-0.9719862  -0.07727178],[43.35354],[-1.884468   0.6427831]
261,0,[30.109455],[-1.3063085  1.5544624],[30.269268],[-0.09033622  0.6903982 ]
261,1,[29.07208],[-0.40444613 -0.36638975],[74.46506],[-4.282424   1.7209706]
262,0,[22.035332],[-0.9529259   0.44466263],[26.514513],[-0.99230075 -1.2275875 ]
262,1,[49.162113],[-1.7553942  1.0777643],[36.55207],[-1.4702301  2.6441276]
263,0,[26.809914],[-0.8821393  0.1803316],[57.798134],[-2.9391565   0.28921574]
263,1,[30.332348],[-1.7353091   0.18460362],[26.860668],[-0.9827622  1.0850757]
264,0,[25.041994],[ 0.4088753 -1.4088434],[42.994972],[-3.1590388  -0.33230704]
264,1,[45.206978],[-2.224844   1.1165779],[56.04743],[-4.0044136  1.6364219]
265,0,[30.4233],[-1.5207748  0.675571 ],[32.34758],[-1.2170571   0.55520314]
265,1,[40.64421],[-0.9416497  -0.08771106],[79.173004],[-4.6305585  5.027748 ]
266,0,[38.151115],[-2.2536848   0.63462853],[59.79554],[-4.0170555  2.68871  ]
266,1,[27.137691],[-1.068254   -0.24678846],[45.236813],[-2.6967695   0.33322418]
267,0,[55.725292],[-3.2033308  2.6560626],[60.473293],[-4.2326736  0.7577406]
267,1,[25.785824],[-0.28165376 -0.41760224],[60.88219],[-0.68480915  1.0218835 ]
268,0,[34.330734],[-1.3708302 -0.4320494],[29.196543],[-0.44341904 -0.4757474 ]
268,1,[28.182217],[-2.063201   -0.10122411],[25.688488],[-1.3924661  0.2349831]
269,0,[35.363934],[-1.6977143   0.27911985],[31.65221],[-0.69170403  0.60287166]
269,1,[26.395655],[-0.26816833 -0.60541916],[68.80652],[-6.6140704 -0.4271682]
270,0,[30.883535],[-0.56174874 -0.33185542],[37.69571],[-1.0764625  0.068709 ]
270,1,[32.70198],[-0.7290742   0.22639157],[27.179272],[-0.27636653 -0.816819  ]
271,0,[42.006706],[-2.707564   2.3696482],[59.23011],[-5.543667   2.1876676]
271,1,[34.90119],[-1.6773015   0.13488926],[24.140755],[-0.53576696  0.15102156]
272,0,[39.70089],[-3.1632192   0.09688164],[60.303303],[-3.0751526  2.1420763]
272,1,[25.520864],[-0.42681193  0.11130406],[19.078466],[0.6675603 0.1514716]
273,0,[25.13441],[-0.2007656 -0.2922821],[20.684977],[-0.7062845 -0.500444 ]
273,1,[32.92409],[-0.17143635  0.12996562],[24.31335],[0.22256924 0.1325425 ]
274,0,[39.742725],[-1.5721521  1.9519069],[34.27399],[-1.2203144   0.30249166]
274,1,[27.194],[-0.39282924 -0.2487736 ],[28.841955],[ 0.12224439 -0.5824793 ]
275,0,[36.453033],[-2.658591   1.9821341],[24.69173],[0.42111942 0.41323167]
275,1,[31.27193],[-0.26378834 -0.001562  ],[61.28123],[-1.9459354 -0.5092193]
276,0,[29.468363],[-1.8414816  1.333478 ],[28.33836],[1.1266533  0.37391514]
276,1,[33.131104],[ 0.29829845 -0.2771063 ],[64.14281],[-2.832401   1.2348522]
277,0,[36.443794],[-0.98398674  0.32307076],[27.64912],[-0.9476602   0.30026042]
277,1,[30.78873],[-0.91210043  0.7333962 ],[30.435682],[-0.67218745  1.5483326 ]
278,0,[32.412212],[-1.3392633  0.4255129],[25.601295],[-0.72190005 -0.40291923]
278,1,[27.54869],[-1.2643733  0.7890126],[27.436634],[-0.9415355 -0.4279744]
279,0,[34.683132],[-2.5226765  -0.70855665],[25.661528],[ 1.1720148 -1.3586808]
279,1,[32.92646],[-1.511948    0.71784323],[36.803646],[-1.2483699  0.6759879]
280,0,[50.31469],[-2.3503532  0.8453321],[72.85684],[-4.0128965  0.3241408]
280,1,[29.445368],[-1.8458575  -0.10432734],[22.969646],[-0.59678245 -0.19075327]
281,0,[38.80894],[-2.585911  1.55715 ],[25.78164],[-0.04865699 -0.48122042]
281,1,[33.8627],[-0.80744314  0.5834705 ],[26.958498],[-0.74412936 -0.37641472]
282,0,[38.944855],[-3.1549585  -0.08731575],[50.465652],[-2.5858095  1.4329838]
282,1,[28.628727],[-1.4850439   0.28326565],[50.97826],[-2.9949765  0.7418958]
283,0,[27.447805],[-1.1787592  -0.02898677],[51.056908],[-3.2352238  -0.12236626]
283,1,[30.616884],[-0.72240716  1.2622371 ],[21.878937],[ 0.25588408 -1.2883083 ]
284,0,[28.373158],[-0.9725779  -0.11411154],[28.775002],[-0.9368174  -0.80141515]
284,1,[47.15032],[-2.6249475  1.0327729],[30.296757],[0.5258215  0.21867646]
285,0,[52.86626],[-4.579716    0.33355367],[26.477047],[-0.21398164 -0.7589052 ]
285,1,[34.04188],[-1.2441193  -0.30905598],[63.193672],[-6.040329   1.0211657]
286,0,[31.57005],[0.07298468 0.1112795 ],[66.203316],[-5.512238   1.1382344]
286,1,[24.57592],[ 0.12402415 -0.31515646],[25.982882],[ 0.40802944 -0.24506688]
287,0,[36.482582],[-0.5351219   0.20804049],[32.13611],[-0.90088487 -0.59104514]
287,1,[37.978653],[-1.8297914  0.5011175],[23.79922],[-0.81244874 -0.24934982]
288,0,[54.048653],[-4.2007904  2.185895 ],[31.5945],[-0.7284619   0.86600834]
288,1,[25.071873],[-0.32756585 -0.7244583 ],[28.089523],[-0.1731878  0.6089644]
289,0,[37.040165],[-0.3032779 -0.8563375],[28.78129],[-0.30555928  0.27295524]
289,1,[24.283726],[-1.2191408  0.0570015],[28.095066],[-1.7474427   0.65510523]
290,0,[26.481987],[ 0.54757637 -0.6675404 ],[28.7876],[-0.36198705  0.04320736]
290,1,[27.213495],[-1.5526289  0.0093924],[25.547125],[ 0.39596575 -2.3093178 ]
291,0,[32.809204],[-0.6093176  0.293602 ],[37.017986],[-0.06042825  2.61687   ]
291,1,[35.400467],[-1.4481044  0.7283252],[60.51997],[-4.2889533  1.5840144]
292,0,[30.386559],[-1.0708194  -0.04010774],[51.734188],[ 0.00834858 -0.09503593]
292,1,[23.980103],[-0.8903059  1.1653627],[23.705856],[-0.06693496 -1.3121823 ]
293,0,[35.342945],[-0.8031428 -0.0359326],[61.998177],[-2.116321    0.19726433]
293,1,[32.814472],[-0.878675    0.04171325],[52.868088],[-3.7598171   0.49578583]
294,0,[27.73873],[ 0.65016025 -0.03058814],[27.44136],[-0.4037239 -0.2175564]
294,1,[38.669205],[-1.2004724  0.8080271],[28.329361],[-0.94998217 -0.01064654]
295,0,[37.244278],[-2.0270047   0.66284055],[26.462946],[ 0.76279813 -0.13611546]
295,1,[30.232538],[-0.47513592  0.54530424],[61.705734],[-3.0885866 -1.2329339]
296,0,[32.03746],[-0.7813804  0.7167341],[67.1013],[-3.7781024  1.3319712]
296,1,[37.459534],[-1.3923715 -0.8233488],[24.055515],[ 0.27518642 -0.38976383]
297,0,[27.012566],[-1.2006723  -0.23983316],[28.916548],[-0.07260843 -0.9168051 ]
297,1,[43.76929],[-1.027897   1.3150244],[27.899733],[-0.46955967 -0.66060483]
298,0,[33.259167],[-1.9146148  0.5706271],[23.26493],[0.19093657 0.24289499]
298,1,[36.173153],[-2.1877625   0.32060087],[56.844875],[-1.7098376  1.564425 ]
299,0,[30.774986],[-0.6590923 -0.5653899],[63.884262],[-3.3691127   0.09148808]
299,1,[27.777073],[-1.5458169   0.28863686],[21.182346],[ 1.0153184 -1.5656174]
300,0,[31.899193],[-1.2210919  1.7428685],[25.231358],[-0.0598772 -1.2772517]
300,1,[32.77547],[-1.549593    0.36429995],[23.56696],[ 0.07100228 -0.06239408]
301,0,[48.323566],[-2.0231714  0.5236835],[23.704252],[ 1.0083183 -0.7683919]
301,1,[25.916126],[-1.4982158 -0.1498635],[34.063824],[0.36929685 0.57139117]
302,0,[26.005264],[-0.15114875  0.14600594],[58.625797],[-1.4310335  2.3168492]
