Epoch,Image Index,Original Age Prediction,Original Gender Prediction,Noisy Age Prediction,Noisy Gender Prediction,Rotation Age Prediction,Rotation Gender Prediction,Brightness Age Prediction,Brightness Gender Prediction,Contrast Age Prediction,Contrast Gender Prediction
66,2,[30.73822],[-1.0812234   0.07769717],[31.31153],[-1.1639102  0.2168545],[28.705078],[-0.8315829   0.07518534],[32.74378],[-1.0933386   0.15573044],[33.245083],[-1.0494066   0.11505948]
66,3,[32.015854],[-1.135074   0.3035336],[30.195545],[-0.9234508   0.20934479],[38.980713],[-1.8734957  0.6241491],[31.968428],[-1.0916827   0.27563196],[33.212265],[-1.237103    0.32346463]
67,0,[29.262463],[-0.9104855   0.09145923],[28.347786],[-0.87891805  0.12747069],[36.900215],[-1.6669425   0.44542336],[35.185673],[-1.1948358   0.16375266],[34.948475],[-1.2550105   0.16039689]
67,1,[37.100563],[-1.6963176  0.6709016],[38.290924],[-1.9407116   0.74875355],[32.20807],[-1.326789    0.39335996],[38.863716],[-1.7783638   0.56738997],[38.616657],[-1.7346351   0.53236103]
67,2,[34.63038],[-1.402587   0.4287715],[32.357327],[-1.3028957   0.29192924],[29.9794],[-1.0282418   0.22349583],[39.29137],[-1.7194757   0.45691758],[38.997986],[-1.7164017  0.4734103]
67,3,[35.773026],[-1.7467129   0.47232324],[33.61779],[-1.5967603   0.50462943],[38.927887],[-1.803472    0.62747467],[36.656513],[-1.4433614  0.2886663],[36.040108],[-1.346599    0.25000775]
68,0,[37.764915],[-1.7455863   0.57880515],[33.417854],[-1.5098808  0.4508441],[40.133865],[-2.1513476  0.8027976],[38.951447],[-1.6675525   0.45267558],[35.290836],[-1.3252379   0.29629564]
68,1,[31.67533],[-1.305168    0.35509014],[26.651392],[-0.5999687   0.04567322],[33.63444],[-1.3013849  0.3318115],[34.767788],[-1.1588994   0.28465104],[32.800186],[-1.0238495   0.19028066]
68,2,[45.986523],[-2.4390166   0.90042764],[44.752922],[-2.3178084  0.8293051],[29.423334],[-1.0184294   0.15783812],[38.482224],[-1.763396    0.58036864],[39.641144],[-1.7565163  0.5337439]
68,3,[39.699738],[-1.8793095  0.7394785],[35.410744],[-1.523714   0.5440423],[31.462309],[-1.1408128   0.30818808],[48.381516],[-2.419747   0.6453806],[46.344536],[-2.2509453   0.60486203]
69,0,[32.76893],[-1.2119101   0.33298135],[29.692692],[-0.8750427   0.16806914],[35.99095],[-1.4351205   0.39814538],[34.41423],[-1.197938    0.21253856],[33.13005],[-1.0710015  0.153113 ]
69,1,[35.29218],[-1.5770377   0.49188572],[34.42502],[-1.5301219   0.42532682],[27.372898],[-0.8427794   0.02048001],[34.18894],[-1.271591    0.32490724],[34.21462],[-1.2382984  0.2892999]
69,2,[34.53351],[-1.3700173   0.30344915],[32.886524],[-1.2925527  0.2766946],[31.609858],[-1.0038971   0.16940893],[30.119137],[-0.91107786  0.01482365],[31.65776],[-0.9927341   0.05056046]
69,3,[31.726107],[-1.1637703   0.23422585],[31.221136],[-1.2099291  0.2774315],[30.620747],[-1.1153984   0.18393047],[34.87107],[-1.438694    0.39486676],[34.66079],[-1.3613207   0.34884685]
70,0,[40.095184],[-1.6676023  0.2574367],[33.792202],[-1.1303754   0.11460276],[34.10645],[-1.379765    0.43103456],[44.110947],[-2.0223722   0.43955845],[45.84815],[-2.2021873  0.5294731]
70,1,[36.5754],[-1.3894597  0.3513363],[36.233963],[-1.3037041  0.3416605],[40.61255],[-1.9936191   0.65794265],[39.95092],[-1.7190914  0.4806975],[40.369347],[-1.6716607  0.3884285]
70,2,[38.77993],[-1.9047028  0.7311105],[35.904266],[-1.823903   0.6851964],[39.820923],[-1.8665372  0.5172747],[32.6156],[-0.9271288   0.08806895],[34.645493],[-1.1206666   0.18632914]
70,3,[33.01001],[-1.2655771   0.30640012],[33.638645],[-1.3226736  0.3970881],[32.532066],[-1.3868972   0.37838936],[37.347244],[-1.6328949   0.42714405],[38.02508],[-1.7164882   0.49882454]
71,0,[24.103558],[-0.08117087 -0.30940098],[26.441221],[-0.518071   -0.16664125],[33.738262],[-1.3011822   0.37418956],[31.897678],[-0.7404179  -0.04066638],[31.249472],[-0.62740797 -0.12132217]
71,1,[40.09149],[-2.2478771   0.85384136],[41.188072],[-2.3642457   0.84811896],[38.998905],[-1.8407084   0.62070954],[38.875893],[-1.5042993  0.2460679],[39.600315],[-1.6514752   0.35104114]
71,2,[34.06687],[-1.279777   0.4383152],[31.64302],[-1.1315702   0.29121983],[30.846775],[-1.0447947   0.12526406],[37.139248],[-1.6298149  0.4909215],[38.840492],[-1.7430615  0.528501 ]
71,3,[24.404644],[-0.4109056  -0.23519085],[20.291704],[ 0.13262095 -0.46719432],[38.486347],[-1.9611281   0.75281566],[34.517456],[-1.0964973   0.12084542],[34.235832],[-0.9499868  -0.00313379]
72,0,[35.538685],[-1.4815215  0.3558693],[30.219038],[-1.1001751  0.2365181],[29.554996],[-0.84307384  0.12533073],[34.760147],[-1.3150362   0.26808918],[37.742733],[-1.5822932  0.4174087]
72,1,[33.80324],[-1.4785062   0.38761795],[31.672997],[-1.2808057   0.35711122],[35.5383],[-1.6000296   0.44621706],[37.658916],[-1.4834069   0.34006202],[38.031586],[-1.5396407  0.3590815]
72,2,[33.079895],[-1.3357629   0.32084703],[33.027794],[-1.4072427   0.33250475],[36.79296],[-1.905547   0.6847537],[35.318573],[-1.2683465   0.29095185],[35.5066],[-1.3170422   0.31329596]
72,3,[40.00105],[-1.8429738  0.7525155],[36.710705],[-1.7314719  0.7559827],[39.263927],[-2.035372   0.7711456],[40.91599],[-1.8884708   0.67649215],[38.617393],[-1.6443211  0.5828583]
73,0,[24.64451],[-0.29619753 -0.35381722],[26.055338],[-0.4183569  -0.20947793],[35.45613],[-1.4991452   0.42606908],[35.13164],[-1.144933    0.10513331],[35.439007],[-1.0844141 -0.0045754]
73,1,[34.556007],[-1.2390151   0.23026754],[35.653618],[-1.4812957  0.4008994],[35.866238],[-1.4123864   0.29489172],[32.397095],[-0.90728474  0.02695803],[31.663685],[-0.81497705 -0.03853418]
73,2,[40.122852],[-1.781119   0.8081768],[38.1423],[-1.7829468   0.72945267],[39.2462],[-1.986946  0.76621 ],[35.914173],[-1.3771545   0.48472494],[34.835594],[-1.3037982   0.42074788]
73,3,[27.523499],[-0.7340976   0.02527934],[36.180603],[-1.858699   0.6375665],[41.785824],[-2.2176342  0.7981749],[33.18153],[-1.3534919  0.212824 ],[31.951927],[-1.2531725   0.16257446]
74,0,[49.010925],[-2.6144266  0.9274773],[43.122353],[-2.0135972  0.6480712],[36.83993],[-1.5911351   0.51896423],[36.561497],[-1.1798962   0.12194397],[34.71398],[-1.0777379   0.11611773]
74,1,[33.614376],[-1.401138    0.43063605],[33.464157],[-1.5242641   0.45864183],[48.694572],[-2.5942862  0.8125169],[34.07959],[-1.3518827   0.35135937],[34.06341],[-1.3524528   0.32733542]
74,2,[46.38791],[-2.4699993   0.93382853],[41.258354],[-2.077614    0.79071736],[34.128773],[-1.6652868   0.51374626],[42.411617],[-1.8493129  0.4245289],[41.854843],[-1.7838641   0.38791972]
74,3,[30.996807],[-1.0823209   0.16911058],[30.78898],[-0.9736258   0.07392158],[38.1743],[-1.7831303  0.555592 ],[32.57689],[-1.0642323   0.11172815],[33.132545],[-1.1095538   0.12749399]
75,0,[20.807724],[-0.04532254 -0.47732985],[20.811064],[-0.00994076 -0.4827062 ],[40.007004],[-1.9668051  0.6670827],[28.921553],[-0.68261886 -0.03768313],[29.197609],[-0.7389282  -0.00299378]
75,1,[32.579952],[-1.3120548   0.39206487],[35.13484],[-1.6393751   0.61890256],[34.869976],[-1.5390409  0.4519689],[35.142338],[-1.4681708  0.4077825],[35.33422],[-1.4890507   0.41144592]
75,2,[26.148531],[-0.37034   -0.2370494],[27.428051],[-0.52949667 -0.13892902],[30.934887],[-0.8388773   0.16305365],[32.57612],[-0.9968643   0.11645259],[33.32352],[-1.0795046   0.19871326]
75,3,[34.224937],[-1.2566366   0.38632387],[33.55919],[-1.3467387  0.3914562],[32.927956],[-1.3405927  0.389758 ],[41.079975],[-1.7201432   0.37601697],[39.65179],[-1.6236999   0.35020286]
76,0,[27.875305],[-0.75769496 -0.00297947],[27.622253],[-0.74247026 -0.02234372],[35.127533],[-1.3809812   0.42934686],[38.964516],[-1.7112584   0.51835895],[38.512016],[-1.6505624   0.45485455]
76,1,[23.10387],[-0.21374647 -0.46220624],[22.9973],[-0.24214728 -0.3798489 ],[28.584534],[-1.056066    0.06906132],[31.59149],[-1.0981079   0.12715013],[31.766048],[-1.1279417   0.19458856]
76,2,[35.971012],[-1.598358    0.44955355],[37.004982],[-1.8153199   0.62966615],[36.216415],[-1.4073582   0.25647992],[39.254845],[-1.7783462  0.5981503],[39.612167],[-1.7720479   0.56655765]
76,3,[29.758947],[-0.80706465  0.15643902],[27.031094],[-0.4803065   0.03948078],[39.912468],[-1.9073368  0.590831 ],[33.18322],[-1.1669065   0.13461436],[32.933193],[-1.1835698   0.24062152]
77,0,[67.78384],[-4.6081095  1.7053819],[63.25602],[-4.0624695  1.5114145],[42.37681],[-2.3090367   0.98008627],[58.598534],[-3.478469   1.2213043],[57.11839],[-3.316185   1.1174976]
77,1,[32.425808],[-1.2181011   0.12659441],[31.009783],[-1.1667494   0.20120944],[36.627136],[-1.63555    0.5508561],[35.560326],[-1.427386    0.35305637],[35.910347],[-1.433919    0.39505422]
77,2,[32.583946],[-1.100393    0.21419053],[30.795033],[-1.045148    0.19245164],[33.527283],[-1.3662847   0.32727194],[39.840736],[-1.683273    0.40488005],[40.24368],[-1.7445679  0.4676482]
77,3,[37.881763],[-1.849192   0.8428219],[36.724648],[-1.7553538  0.7156362],[35.709908],[-1.5915154   0.47744793],[32.33056],[-1.217625    0.26654512],[32.90037],[-1.2736202  0.3195724]
78,0,[37.296787],[-1.9094609   0.65788466],[34.663105],[-1.6222093   0.52430737],[35.421005],[-1.3090262  0.3104871],[33.47808],[-1.0131494   0.06358016],[32.92421],[-0.9267682   0.01927875]
78,1,[38.07767],[-1.7470518  0.678706 ],[31.424377],[-1.1347821  0.4064868],[36.61643],[-1.6126534  0.4857558],[40.459183],[-1.8150982  0.5799244],[38.791935],[-1.6293885  0.4686343]
78,2,[29.778942],[-1.0069152  -0.01752165],[34.86489],[-1.3136865  0.2399665],[30.63209],[-1.1269971   0.15048043],[34.242527],[-1.256783    0.21337976],[34.222176],[-1.2348697  0.189124 ]
78,3,[27.915073],[-0.47283655 -0.10401224],[25.899954],[-0.40920317 -0.15649745],[31.639214],[-0.79297847  0.16788478],[31.63427],[-0.82772624  0.06680408],[31.77519],[-0.8397863   0.07686427]
79,0,[34.172302],[-1.5402927  0.5039485],[37.04453],[-2.0162475  0.8260242],[35.00163],[-1.4844341  0.4880802],[34.659992],[-1.0885799   0.15028475],[34.701683],[-1.0436488   0.11873259]
79,1,[46.16438],[-2.5552106   0.96017617],[40.063847],[-1.9960431   0.68669754],[40.308277],[-1.8874489   0.70598614],[36.552948],[-1.1524863   0.18048842],[42.16772],[-1.6803454   0.38787538]
79,2,[33.160625],[-0.99505866  0.19225802],[34.563904],[-1.281026    0.41116923],[37.124794],[-1.4444176   0.30173534],[33.601295],[-0.9741546  0.1550733],[32.94523],[-0.8909311   0.09826671]
79,3,[35.02956],[-1.4596561   0.56790406],[33.254063],[-1.554734   0.5357861],[36.32229],[-1.7477471   0.45463783],[37.56443],[-1.5655513  0.399283 ],[39.025726],[-1.7076029   0.49863464]
80,0,[35.565098],[-1.4172074  0.365094 ],[30.259432],[-1.030168    0.12067713],[31.215],[-1.1794789   0.19198339],[43.693188],[-2.054492   0.5901801],[41.070194],[-1.8569311   0.54290277]
80,1,[37.579544],[-1.5341693   0.40201014],[32.940395],[-1.2453126   0.26194638],[34.550575],[-1.420522   0.5263966],[40.93201],[-1.8482016   0.48177153],[43.10836],[-2.0613546  0.5640123]
80,2,[42.556545],[-2.2016594  0.8279882],[39.05318],[-1.9341272   0.77089757],[29.117592],[-0.95565283  0.08938132],[35.4739],[-1.4409219  0.5162938],[34.311043],[-1.3474525   0.44707334]
80,3,[55.968056],[-3.2938435  1.0443012],[48.221035],[-2.7032099   0.93331665],[44.389523],[-2.2569256  0.7560658],[67.33563],[-4.1063905  1.2061872],[66.178474],[-3.923645   1.1091249]
81,0,[43.10463],[-2.151481    0.62368375],[35.49573],[-1.7351788  0.5974072],[36.815483],[-1.5938759  0.4199474],[39.917442],[-1.472334   0.2189693],[37.9883],[-1.3462317   0.18389691]
81,1,[34.34344],[-1.4362748   0.31918758],[32.88362],[-1.37779    0.3282314],[30.283709],[-0.907722    0.15135004],[36.577133],[-1.4691002   0.29040587],[36.017067],[-1.3937765   0.26632637]
81,2,[36.449284],[-1.7691954   0.47787702],[35.331604],[-1.7195405  0.5528601],[40.42648],[-1.9234835   0.61403275],[36.14577],[-1.1735349   0.14760722],[36.389915],[-1.2240939   0.16255291]
81,3,[61.563572],[-3.7030432  1.1255802],[48.731277],[-2.5827827  0.7895841],[34.749798],[-1.6134486  0.4997669],[52.47978],[-3.0190983   0.97681874],[53.12836],[-2.9371629   0.91205543]
82,0,[28.908985],[-0.9096962   0.04217021],[29.472603],[-1.0031625  0.1444308],[32.99805],[-1.4124296   0.40161002],[37.00282],[-1.6596634  0.5962877],[33.921177],[-1.4114882   0.41466272]
82,1,[40.06827],[-1.9254814  0.6816231],[39.377556],[-1.8302008   0.59030896],[34.159264],[-1.4306467   0.35733855],[32.631634],[-0.7483077  -0.16373914],[32.63925],[-0.74599713 -0.17055918]
82,2,[36.99143],[-1.5240906   0.45343035],[33.960957],[-1.365129   0.3750701],[28.790438],[-0.96394825  0.16791297],[32.268337],[-0.7144374 -0.1972855],[32.69892],[-0.7608247  -0.16521895]
82,3,[22.869911],[ 0.21464892 -0.40993077],[23.570915],[ 0.13797115 -0.24526002],[36.610134],[-1.717344   0.5908536],[33.944054],[-1.1765707   0.17401738],[33.892864],[-1.1322463   0.15746368]
83,0,[29.506517],[-0.8900186  0.1132261],[26.883581],[-0.6409443  -0.01470265],[32.26606],[-1.3048726   0.26676846],[32.622456],[-1.1282983   0.23053338],[32.02508],[-1.0559493  0.2086498]
83,1,[31.989267],[-1.0531925   0.13225223],[32.6491],[-1.2402389  0.3004179],[41.432556],[-1.8974041   0.45628053],[34.179295],[-1.2142191  0.3127234],[35.63169],[-1.3853446  0.3514961]
83,2,[31.456173],[-1.0947996   0.21301518],[34.111107],[-1.4399883  0.3992418],[31.774256],[-1.0831542  0.2307825],[38.29255],[-1.67544     0.42796713],[38.949635],[-1.6453629   0.33908147]
83,3,[37.784348],[-1.789871   0.5031318],[37.70922],[-1.8583611  0.6498946],[37.621674],[-1.7212687   0.44577146],[36.482735],[-1.5353636  0.4561593],[35.9958],[-1.5847253  0.4474275]
84,0,[30.967903],[-0.96435416  0.09933041],[32.24878],[-1.0705827   0.16783325],[42.481556],[-2.0059638   0.59298366],[34.200096],[-1.1434797   0.26307917],[32.79949],[-0.99882126  0.16950206]
84,1,[30.870453],[-0.89016676  0.07348616],[32.349976],[-1.1665456  0.2779582],[35.49768],[-1.5298592   0.37534696],[35.267117],[-1.4557291   0.44265234],[37.891003],[-1.6724197  0.5527774]
84,2,[20.188425],[ 0.5051617  -0.66583264],[20.903706],[ 0.3579601 -0.5990011],[35.993004],[-1.2796907   0.19688185],[29.660479],[-0.6989379  -0.00182925],[29.295122],[-0.6481433  -0.03361164]
84,3,[50.693626],[-2.7362962  0.6916819],[47.87111],[-2.411094   0.6917499],[39.88439],[-1.869155   0.6117849],[32.770866],[-0.77199554 -0.1080808 ],[32.625698],[-0.74493545 -0.12274976]
85,0,[36.822666],[-1.9273149  0.55502  ],[44.816296],[-2.6420913  0.9298397],[34.316135],[-1.4897536   0.37668777],[39.944885],[-2.028318   0.6555681],[38.40674],[-1.909002   0.6358004]
85,1,[38.155727],[-1.7038387   0.64523137],[38.979187],[-1.8823401  0.719184 ],[34.17415],[-1.2736672   0.31532115],[45.296303],[-2.251576   0.7861432],[44.189236],[-2.1272776  0.7375042]
85,2,[29.388332],[-0.9152231   0.13593908],[32.551567],[-1.3830949   0.32269883],[38.09173],[-1.6730887   0.47188133],[33.24063],[-1.321465   0.4266196],[35.951794],[-1.5386832  0.5234608]
85,3,[29.978207],[-0.96763515  0.05614007],[26.435514],[-0.5263291 -0.1461206],[33.289734],[-1.3838786  0.3288604],[35.110607],[-1.3236098   0.30766976],[35.827705],[-1.3710227   0.33278084]
86,0,[36.92462],[-1.5059384   0.47228783],[31.26137],[-1.0862056   0.13754715],[31.913189],[-1.2790967   0.27647585],[35.151585],[-1.3916799  0.3525529],[34.00858],[-1.2279409   0.24209215]
86,1,[34.944237],[-1.470646   0.4959497],[33.033985],[-1.2554821   0.33206558],[40.716576],[-1.7654206   0.57104963],[40.157505],[-1.7602465  0.546279 ],[39.791176],[-1.740495   0.5437338]
86,2,[34.99998],[-1.3905514   0.45499122],[33.66991],[-1.2983261  0.4066944],[32.906136],[-1.3264987  0.3453201],[34.67133],[-1.3755295   0.33406663],[33.894],[-1.2772951  0.2844385]
86,3,[39.126083],[-1.9836615   0.70313334],[37.110928],[-1.921795   0.7116386],[40.498985],[-2.1365714   0.76127666],[41.495026],[-1.8429664  0.4714405],[42.447216],[-1.9255773   0.50226474]
87,0,[39.032326],[-1.791984   0.4102376],[38.227253],[-1.6723925   0.39914447],[44.55519],[-1.9208015   0.34438187],[33.789627],[-1.1579149   0.16627912],[34.14038],[-1.2035108  0.1881531]
87,1,[55.000942],[-3.1135144  0.9219913],[49.21676],[-2.8575156  0.9551341],[36.558487],[-1.9806296   0.72432274],[36.594494],[-1.1598551   0.07148679],[36.620796],[-1.1662712   0.09424753]
87,2,[28.400208],[-0.99465    -0.03522818],[31.71687],[-1.3487636   0.26624388],[31.820583],[-1.1004499   0.00785346],[35.73381],[-1.5381575  0.342192 ],[34.63801],[-1.3436271   0.19170614]
87,3,[39.057713],[-1.85968     0.72316027],[40.37812],[-2.0759735   0.87681216],[29.527723],[-0.74263954  0.12334059],[37.533585],[-1.4651153   0.42486674],[35.932224],[-1.3529965  0.4085964]
88,0,[34.213795],[-1.5358783  0.3158512],[32.84501],[-1.562069   0.3671947],[25.111383],[-0.5277045  -0.16910194],[39.65772],[-1.665549   0.2762019],[39.547886],[-1.6143221   0.25379783]
88,1,[34.64089],[-1.3610017   0.25486714],[31.907043],[-1.3335457   0.24155588],[32.29625],[-0.87382483 -0.00616242],[39.846485],[-1.7165523  0.4979614],[37.350838],[-1.5546534   0.39811653]
88,2,[36.03816],[-1.6742027   0.75661254],[37.760727],[-2.019896  0.918425],[35.1008],[-1.828313    0.63979393],[38.916122],[-1.6888734   0.53300756],[38.660423],[-1.6094912   0.47304642]
88,3,[43.18528],[-2.357179   0.9324381],[40.273323],[-1.976786    0.77586323],[38.18164],[-2.0729547  0.7439541],[34.511894],[-0.8645843   0.02219775],[34.44258],[-0.7822687 -0.0331877]
89,0,[30.127342],[-0.66374713  0.13377763],[26.682878],[-0.38720238 -0.0944981 ],[34.440037],[-1.4029133  0.4021526],[32.398453],[-1.0551825   0.13196446],[31.998514],[-1.0145609   0.10550232]
89,1,[32.065422],[-1.1715872   0.17324416],[33.842716],[-1.22828     0.21881838],[35.51307],[-1.6925763  0.5191199],[33.776005],[-1.1271247   0.15501602],[33.600624],[-1.0677133   0.11955146]
89,2,[35.12273],[-1.4084346   0.37252593],[36.020924],[-1.5824699  0.5438977],[33.718334],[-1.4882665   0.43331128],[34.150063],[-1.0569506   0.02676471],[34.1866],[-1.0940715   0.06270818]
89,3,[36.11616],[-1.345464    0.30136138],[36.131584],[-1.480286    0.47341806],[38.352627],[-1.5574433   0.29815465],[38.077885],[-1.60475     0.49969518],[39.084538],[-1.7956008   0.58326584]
90,0,[30.516888],[-1.1272455   0.19426526],[32.806114],[-1.3908728   0.38951415],[30.837593],[-0.9798739   0.13155551],[36.60985],[-1.5424075   0.42498463],[37.491688],[-1.5993693   0.43064255]
90,1,[36.20957],[-1.3988754   0.43393654],[34.654152],[-1.1854951  0.1590481],[35.893402],[-1.5010933  0.4260373],[34.478065],[-1.0969537   0.09369911],[33.59732],[-0.9146782  -0.05957668]
90,2,[35.69616],[-1.3893975   0.46788973],[35.40764],[-1.488341  0.53911 ],[37.623173],[-1.6171676   0.41573614],[41.79303],[-1.9010957  0.5393277],[38.70166],[-1.586465   0.3748079]
90,3,[30.306103],[-0.7866139   0.06183527],[27.632793],[-0.46977854 -0.07420514],[39.105904],[-2.0263932   0.70341974],[35.64491],[-1.3206326   0.37634104],[36.662235],[-1.4318832   0.43768585]
91,0,[33.51568],[-1.1466712   0.21514173],[31.570305],[-1.2449694   0.26487625],[35.102283],[-1.4020282   0.39274144],[35.323334],[-1.2523987   0.18201043],[35.033268],[-1.2628263   0.20032905]
91,1,[34.88178],[-1.377294    0.35915846],[33.658676],[-1.3561779   0.36541504],[31.269938],[-0.8636186  0.1435229],[35.423664],[-1.2920806  0.2696392],[35.052242],[-1.2375848   0.23916642]
91,2,[29.62835],[-0.96167696 -0.01312526],[29.794767],[-1.018376    0.05786349],[34.13357],[-1.1848564   0.23349951],[33.772926],[-1.2148722   0.12566768],[32.884987],[-1.2589107   0.19454183]
91,3,[34.63038],[-1.402587   0.4287715],[31.894577],[-1.2295134   0.32651752],[29.9794],[-1.0282418   0.22349583],[39.29137],[-1.7194757   0.45691758],[38.997986],[-1.7164017  0.4734103]
92,0,[35.601646],[-1.6298755  0.6274855],[35.302887],[-1.662449   0.6364396],[34.54875],[-1.4928237   0.34965742],[36.12317],[-1.582335    0.63207424],[36.84008],[-1.7067971  0.7323198]
92,1,[27.837957],[-0.5018273 -0.1794946],[30.341501],[-0.9586178   0.14826103],[30.334602],[-1.0997982   0.20413403],[31.304863],[-0.9557911   0.11757891],[31.295073],[-0.9486662   0.10222001]
92,2,[28.226702],[-0.6636957   0.03899278],[21.285572],[ 0.28991377 -0.4502706 ],[37.439075],[-1.8522753   0.66909176],[37.84887],[-1.521298    0.45592034],[35.167812],[-1.2914819   0.36077082]
92,3,[38.342957],[-1.8609823   0.54242516],[36.469078],[-1.7299216  0.4618194],[34.35833],[-1.1581773   0.16744138],[34.401413],[-0.9968554   0.05208492],[34.22655],[-0.9604217   0.03352852]
93,0,[65.96829],[-4.2241373  1.5030583],[69.46752],[-4.6896305  1.7048761],[35.568024],[-1.4994516   0.42858124],[45.19968],[-1.7808989   0.32645285],[38.367245],[-1.1594112   0.09417935]
93,1,[39.78412],[-1.838123   0.5929806],[41.168793],[-2.084436    0.70441085],[35.755775],[-1.575974    0.43979752],[44.945934],[-2.1819959  0.6690758],[43.296085],[-2.019366   0.5653211]
93,2,[42.761578],[-1.922979    0.54282296],[37.734077],[-1.5209765   0.40756065],[38.06006],[-1.8687793  0.5098162],[40.914013],[-1.7347714   0.40190822],[38.518047],[-1.5616705  0.3611738]
93,3,[32.530136],[-1.2543393   0.24700181],[31.583487],[-1.2018338  0.2737602],[35.295795],[-1.4732876   0.37507117],[34.136044],[-1.2316141   0.22139217],[34.74992],[-1.2805768  0.2598558]
94,0,[37.783627],[-1.8103544   0.46918482],[40.108765],[-2.1645124  0.7211309],[39.487633],[-1.8941814  0.5569473],[36.512863],[-1.3080055   0.25008982],[36.46952],[-1.2321216  0.2057753]
94,1,[64.458305],[-4.078537   1.4928476],[64.82742],[-4.160945   1.3749921],[37.07574],[-1.7536613  0.7079882],[39.794224],[-1.3422279  0.0639042],[40.785194],[-1.516877    0.14536698]
94,2,[34.111786],[-1.3368524   0.24633168],[33.902653],[-1.4188772  0.330831 ],[35.440865],[-1.7624068  0.5681553],[35.162544],[-1.3332901   0.21806876],[33.97284],[-1.1003847   0.11869182]
94,3,[21.618202],[ 0.25265425 -0.5182238 ],[22.958984],[ 0.12663713 -0.38674513],[37.9051],[-1.7214963   0.53873944],[31.988188],[-1.01093     0.14799507],[30.629658],[-0.88984656  0.12730213]
95,0,[42.832596],[-2.1622741  0.7376772],[36.74873],[-1.6970911  0.5480368],[37.99504],[-1.7291075   0.42346954],[48.125164],[-2.6582198  0.8238687],[44.94904],[-2.3779502   0.74156517]
95,1,[36.364475],[-1.798065   0.6022406],[32.81577],[-1.5572553   0.49591917],[28.790257],[-1.0123504  0.0813065],[36.179966],[-1.404356    0.58301777],[38.053368],[-1.436068   0.5502623]
95,2,[37.856018],[-1.7218232  0.3305174],[36.31188],[-1.6732686   0.47286743],[36.23636],[-1.4715885   0.37255937],[40.360138],[-1.7233235   0.50943166],[41.091904],[-1.8091682  0.5073984]
95,3,[57.226078],[-3.371089  1.163575],[52.098763],[-3.023558   1.0816622],[35.183964],[-1.5367757   0.45184356],[59.116123],[-3.4398284  1.0585744],[57.63797],[-3.2687979  0.991882 ]
96,0,[30.89661],[-1.0980637   0.12470426],[28.509663],[-0.7929342  -0.01903515],[32.585228],[-1.2030544   0.32769597],[34.872177],[-1.4001949   0.39004093],[34.844467],[-1.3892689   0.40444952]
96,1,[41.61896],[-2.0815122  0.6380108],[39.16958],[-1.714285    0.63268894],[34.840168],[-1.3885877  0.2890585],[38.06463],[-1.1467506   0.18446727],[37.60336],[-1.1368445   0.19835438]
96,2,[43.181335],[-2.4631908  1.0195427],[40.00893],[-2.1489496  0.7897599],[37.101448],[-1.8431607  0.6607744],[40.34103],[-1.8493103   0.51555794],[43.212193],[-2.1175919  0.6343164]
96,3,[39.97194],[-1.9382204  0.8331462],[39.160378],[-1.9824625   0.85554343],[36.074287],[-1.5648271   0.48431975],[33.385933],[-1.0748843  0.3986122],[34.61824],[-1.2122692  0.4273535]
97,0,[35.82621],[-1.5472655  0.3391856],[29.202309],[-1.0208725   0.08120175],[36.022346],[-1.529214   0.4666887],[36.885174],[-1.2889336   0.18772607],[36.17681],[-1.1915202   0.12587176]
97,1,[37.271046],[-1.5201968   0.39955372],[35.69201],[-1.4461722   0.40194845],[32.713814],[-1.1187987   0.16348071],[37.172832],[-1.2859293   0.15201981],[36.552853],[-1.2781917   0.20705165]
97,2,[42.327106],[-2.0819433   0.63462454],[41.53267],[-2.0983992  0.6645475],[36.038586],[-1.6761583   0.64689934],[35.770405],[-1.303062    0.33891565],[35.652924],[-1.2596046   0.27948028]
97,3,[23.760155],[-0.31166667 -0.30450463],[23.651306],[-0.28066337 -0.29754937],[35.21672],[-1.4097528  0.4284985],[34.402225],[-1.3040932   0.25087857],[34.48815],[-1.1898259   0.16753356]
98,0,[27.929731],[-0.30806166 -0.18869787],[26.1937],[-0.23636822 -0.15826668],[39.047634],[-1.7594165  0.5477215],[31.285131],[-0.87677324 -0.03823456],[29.353582],[-0.68618566 -0.14208141]
98,1,[36.26401],[-1.6900156  0.499577 ],[35.905624],[-1.767184   0.6644817],[39.377586],[-1.8642701  0.5894602],[36.923977],[-1.2785019   0.25324798],[35.412376],[-1.0818299   0.11572291]
98,2,[34.49816],[-1.4052659   0.42543972],[33.744358],[-1.3808242  0.4151736],[36.321064],[-1.4900179   0.46800482],[38.43569],[-1.7401648   0.58236283],[41.142174],[-1.9765521  0.6549659]
98,3,[31.157816],[-1.2945592   0.37778908],[33.06785],[-1.4312272   0.47148716],[31.444874],[-1.2815197   0.36196005],[34.251156],[-0.9538759   0.00851409],[34.359962],[-0.9576936 -0.0124664]
99,0,[32.005096],[-1.0667114   0.18482761],[34.778263],[-1.2875396   0.31039047],[32.09233],[-1.0698966   0.24370484],[42.70943],[-1.8383731   0.44909507],[43.951023],[-1.9755839  0.4811377]
99,1,[45.830135],[-2.5579083  0.9260866],[38.90396],[-1.8865796   0.58889055],[33.408928],[-1.2886714   0.26980394],[36.95219],[-1.304282    0.21291126],[38.430355],[-1.4638644   0.26596457]
